car_id;car_class_id;team_id;driver_id;name;rating_old
39;40;-10062;-10062;#R4RMotorsport;0
39;40;-10062;16637;Sam Michaels;5499
39;40;-10062;175893;Nicholas Johnston;3638
93;100;-10081;-10081;Williams eSports;0
93;100;-10081;111542;Nils Koch;7988
93;100;-10081;207175;Laurin Heinrich;7096
93;100;-10081;244820;Moritz Löhner;6478
93;100;-10081;62842;Kay Kaschube;8636
93;100;-10081;74294;Alexander Voß;8839
39;40;-10269;-10269;SRN Motorsports;0
39;40;-10269;143107;Scott McGarvey;2605
39;40;-10269;17696;Mike Young;3525
39;40;-10269;46931;Daniel Graulty;3365
39;40;-10269;47907;Ryan Huff2;2264
39;40;-10269;52740;Jason Gerard;5042
102;100;-10463;-10463;Hellenic Racing;0
102;100;-10463;182197;Andreas Arvanitantonis;3381
102;100;-10463;21218;George Alamaras;2507
102;100;-10463;45542;Nestoras  Kiosoglou;6770
102;100;-10463;68157;Andy Perrs;4437
102;100;-104821;-104821;Williams JIM Junior Yellow;0
102;100;-104821;141027;Daniel Cruz;5679
102;100;-104821;177954;Guillem Escuder;4616
102;100;-104821;189025;Cristobal J. Lopez;6088
102;100;-104821;218216;Agustin Martin;4239
102;100;-104821;98921;Jorge Blasco Valls;6800
102;100;-104821;99265;Tom Vallenthini;6815
93;100;-106662;-106662;Williams JIM Junior Black;0
93;100;-106662;137303;Sebastian Dunkel;7200
93;100;-106662;217009;Aldo Massa;5544
93;100;-106662;26263;Mikko Melkkilä;6319
93;100;-106662;47751;Alex Arana;7678
39;40;-107246;-107246;Thrustmaster Mivano Racing HPD;0
39;40;-107246;183064;Philipp Baur;4917
39;40;-107246;226301;Patrick Schneider2;5578
39;40;-107246;246874;Maxime Brient;5646
39;40;-107246;62887;Dion Fiallo;6083
102;100;-107686;-107686;CoRe SimRacing GTE;0
102;100;-107686;199210;Ross Balfour;6403
102;100;-107686;23731;Thomas Arends;5724
102;100;-107686;26065;Kimmo Suominen;7545
