car_id;car_class_id;team_id;driver_id;name;rating_old
70;77;-10010;-10010;VRS Coanda Simsport #8;0
70;77;-10010;15457;Sage Karam;3665
70;77;-10010;169237;Joshua K Rogers;8197
70;77;-10010;50919;Martti Pietilä;5853
70;77;-10010;61454;Mitchell deJong;9444
92;100;-10081;-10081;Williams Esports;0
92;100;-10081;62842;Kay Kaschube;8852
93;100;-104820;-104820;Williams JIM eSports #777;0
93;100;-104820;141027;Daniel Cruz;5502
93;100;-104820;217009;Aldo Massa;5527
93;100;-104820;218216;Agustin Martin;4048
93;100;-104820;84932;Mario Bertolotti;7254
93;100;-104820;98921;Jorge Blasco Valls;6603
72;473;-105773;-105773;DRS Wave Italy AMG1;0
72;473;-105773;112193;Mattia Fuligni;5146
72;473;-105773;205542;Nicolò Cuomo;2835
72;473;-105773;208645;Giovanni Tononi;6531
72;473;-105773;240049;Danìele Poli;2985
72;473;-105773;261445;Francesco Barattieri;1940
72;473;-105773;54278;Stefano Urbani;2362
72;473;-108772;-108772;ASTRO Gaming Altus Esports;0
72;473;-108772;153033;Simone Maria Marcenò;6847
72;473;-108772;263443;Beau Albert;5972
72;473;-108772;58934;Zachary Hanlin;4236
92;100;-10908;-10908;Trans Tasman Racing;0
92;100;-10908;107819;Kurt Stenberg;4043
92;100;-10908;246097;Sam D Blacklock;5241
92;100;-10908;26144;Emily Jones;3768
92;100;-10908;49780;Leigh Ellis;4558
92;100;-10908;50308;Madison Down;8102
92;100;-10908;64287;Shaun Kelly;5760
72;473;-10969;-10969;SRB Endurance;0
72;473;-10969;242211;Flavio A Xavier;4069
72;473;-10969;29101;Paulo Tadeu;3763
72;473;-10969;29362;Aritan Maia;5921
72;473;-10969;35778;Cesar Froener;5705
72;473;-10969;94574;Felipe Paiva;5304
92;100;-11111;-11111;Dream Factory;0
92;100;-11111;200717;Pablo Villafáñez;4007
92;100;-11111;215794;Diego Catalán;6608
92;100;-11111;230285;Alex Cue;5736
92;100;-11111;98662;Raúl Diago;6025
72;473;-111352;-111352;N'RACE ESPORTS RED #199;0
72;473;-111352;258169;Guillaume Jobard;3902
72;473;-111352;335473;Christophe Herbigneaux;3396
72;473;-111352;37921;Tony Repussard;6638
72;473;-111352;48957;Julien Schein;4714
72;473;-116170;-116170;RaceKraft Engineering feat. TRN (Yellow);0
72;473;-116170;220103;Kane Halliburton;5621
72;473;-116170;281504;Alexandros Hadjivarnava;3275
72;473;-116170;75474;Brian Lockwood;3337
102;100;-116185;-116185;Xite_iRacing;0
102;100;-116185;101179;Travis Schwenke;6969
102;100;-116185;236652;Ashley Beard;3937
102;100;-116185;237221;Brian J Holmes;5728
102;100;-116185;245397;Adam McNally;2852
102;100;-116185;322223;Jack Ashton;1510
102;100;-116185;53101;Robert R Hartley;9668
93;100;-117122;-117122;TX3 by Thrustmaster #Blue;0
