car_id;car_class_id;team_id;driver_id;name;rating_old
98;116;-10010;-10010;VRS Coanda Simsport $8;0
98;116;-10010;196481;Paschalis Gkergkis;7505
98;116;-10010;43779;Jörn Jens;8451
98;116;-10010;79614;Ricardo Castro Ledo;8308
98;116;-10014;-10014;VRS Coanda Simsport $1;0
98;116;-10014;116848;Mack Bakkum;9624
98;116;-10014;169237;Joshua K Rogers;8722
98;116;-10014;58404;Martin Krönke;9614
98;116;-10014;61454;Mitchell deJong;9484
39;40;-10045;-10045;AlpineEagleRacing;0
39;40;-10045;84621;Martin Ascher;5721
39;40;-10045;85423;Erik Hafner;3030
102;100;-105773;-105773;DRS Wave Italy RSR #1;0
102;100;-105773;112193;Mattia Fuligni;5044
102;100;-105773;48053;Maurizio Miconi;3242
102;100;-105773;67983;Filippo Orlandi;7102
98;116;-108772;-108772;ASTRO Gaming Altus Esports;0
98;116;-108772;109169;Dayne Warren;5465
98;116;-108772;211796;Ethan B Warren;3692
98;116;-108772;246097;Sam D Blacklock;5449
100;116;-110055;-110055;Satellite Racing LMP1;0
100;116;-110055;131528;Sai Andra;4982
100;116;-110055;286578;Dylan B Scrivens;4969
100;116;-110055;28943;Nick Rowland;3815
100;116;-110055;69922;Dimitri De Matos;5692
100;116;-114479;-114479;Pure Racing Team LMP Pink;0
100;116;-114479;178613;Patrick Wolf;7252
100;116;-114479;199325;Maximilian Benecke;10443
100;116;-114479;266999;Dominik Färber;6326
39;40;-114577;-114577;SimRC.de Carbon;0
39;40;-114577;175094;Maximilian Schieder;4553
39;40;-114577;182489;Patrick Jung;3155
39;40;-114577;187232;Lukas Dolzer;3852
39;40;-114577;220596;Rudolf Nagel;4459
39;40;-114577;320670;Felix Luding;6050
39;40;-116646;-116646;RiLey SimRacing;0
39;40;-116646;145678;Andreas Leykamm;6565
39;40;-116646;295817;Marco Jager;5666
39;40;-116646;49498;Patrick Richter;6301
39;40;-117893;-117893;CoRe SimRacing;0
