car_id;car_class_id;team_id;driver_id;name;rating_old
70;77;-10127;-10127;SuperSport Racing;0
70;77;-10127;63647;Gresham Wagner;5024
70;77;-10127;69079;Braden Eves;6378
93;100;-10463;-10463;Hellenic Racing;0
93;100;-10463;293019;George M Zervas;5033
70;77;-105684;-105684;Radicals Online JRT;0
70;77;-105684;203574;Sven Cammaerts;5470
92;100;-105805;-105805;Pure Racing Team GT;0
92;100;-105805;221200;Gianni Vecchio;8129
92;100;-105805;258389;Christopher Dambietz;6932
72;473;-107246;-107246;Mivano Simracing Team;0
72;473;-107246;104967;Michael A Diaz;5215
72;473;-107246;206068;Brandon Hawkin;6678
72;473;-107246;214885;Moises A Caraballo;6279
72;473;-107246;338424;Andrew Caron;3737
72;473;-107246;86541;Luc van Schaik;4577
109;100;-114576;-114576;SimRC.de Titan;0
109;100;-114576;168938;Jürgen Frank;7522
109;100;-114576;320670;Felix Luding;6520
92;100;-115091;-115091;DRIVEX eSports ;0
92;100;-115091;132444;Johnny Guindi;6927
92;100;-115091;230305;Bebu Girolami;3993
92;100;-115091;313695;Sergio Ignacio2;6623
73;473;-117127;-117127;NSH RACING TEAM;0
73;473;-117127;196693;Jeremy Lamier;5823
73;473;-117127;358931;Hugo Gustinelli;2362
70;77;-121121;-121121;Evolution Racing Team #91;0
70;77;-121121;148529;Kevin Ellis Jr;7494
70;77;-121121;169781;Jamie Fluke;8057
70;77;-121121;258728;Michele Costantini;6183
93;100;-121133;-121133;Biela Racing Team EURONICS V;0
93;100;-121133;223584;Lubomir Schiwietz;6154
93;100;-121133;313251;Sven Haase;8877
72;473;-121309;-121309;SRC Squadra Corse Black;0
72;473;-121309;110992;Marco Gabriele Nesi;6116
72;473;-121309;121280;Emanuele Petri;6240
72;473;-121309;124057;Massimo Carbognani;6819
72;473;-121309;164259;Marco I D' Acunto;6563
72;473;-121309;353756;Camillo Pezzoli;5267
70;77;-121866;-121866;Pure Racing Team DP Blue;0
70;77;-121866;122282;Jonas Wallmeier;8209
70;77;-121866;178613;Patrick Wolf;7515
70;77;-121866;266999;Dominik Färber;5412
92;100;-123876;-123876;DV1 TRITON Racing;0
92;100;-123876;305355;Dominik Blajer;6193
92;100;-123876;37503;Jan Wiechowski;7208
70;77;-126327;-126327;Racelab Engineering Oralie;0
70;77;-126327;205408;Ingemar Andersson;2599
70;77;-126327;280730;Maxime de Tilly;3113
70;77;-126327;361210;Daniel Pásztor;5372
72;473;-12725;-12725;Glacier Racing;0
72;473;-12725;118469;Teemu Valkeejarvi;5458
72;473;-12725;248499;Ville Ruola;4861
72;473;-12725;55103;Joni Hagner;6583
93;100;-127754;-127754;Willams JIM Esports Cup M;0
93;100;-127754;300107;Diego Cabanela;5922
93;100;-127754;88747;Martin Solari;5817
70;77;-130356;-130356;CoRe SimRacing DP;0
70;77;-130356;203086;Sven Neumann;4850
70;77;-130356;229541;Carl E Jansson;8389
70;77;-130383;-130383;Evolution Racing Team #90;0
70;77;-130383;142748;Zac Campbell;5312
70;77;-130383;181242;Reinaldo Llerena;6042
70;77;-130383;269106;Yohann Harth;6842
70;77;-130644;-130644;SIMMSA ISR Powered by Simplex Racing DP;0
70;77;-130644;141749;James King;4050
70;77;-130644;159866;Michael Davies;3813
70;77;-130644;73275;Teemu Toikka;4376
72;473;-130646;-130646;SIMMSA ISR Powered by Simplex Racing GT3;0
72;473;-130646;152944;Scott Brazier;6195
72;473;-130646;176812;Fraser Williamson;3996
72;473;-130646;294153;Javon Turman;5951
73;473;-137397;-137397;MSI eSports GT3;0
73;473;-137397;239975;Salva Talens;6796
73;473;-137397;53998;Alvaro Ramiro;6708
73;473;-137397;96849;Julian Rodriguez Moreno;7215
72;473;-138685;-138685;Williams JIM Esports Azzurri #2;0
72;473;-138685;165200;Moreno Sirica;5744
72;473;-138685;46785;Alessandro Bacchilega;6135
70;77;-138876;-138876;LEO RACING TEAM C7 PROTOTYPE;0
70;77;-138876;15228;Ivan Basso;2961
70;77;-138876;20922;Danilo Piazza;4134
70;77;-138876;347225;Daniele Pizzo2;3333
70;77;-138876;59162;Doriano Ricchiuti;3749
93;100;-139010;-139010;Triple A Esports White;0
93;100;-139010;103117;Ricardo Ferreira;6618
93;100;-139010;159005;Carlos Diegues;7938
93;100;-139012;-139012;Triple A Esports Black;0
93;100;-139012;259949;ThibauIt Cazaubon;8768
93;100;-139012;262023;Alexander Wolters;8009
92;100;-139068;-139068;Team Redline Orange;0
92;100;-139068;168966;Max Verstappen;7236
92;100;-139068;34038;Shane van Gisbergen;5252
92;100;-139068;51333;Rudy van Buren;6579
70;77;-139087;-139087;Biela Racing Team EURONICS VI;0
70;77;-139087;170047;Jan-Eric Hoffarth;5756
70;77;-139087;189357;Michael Wilhelm;2115
70;77;-19507;-19507;Pure Motorsport Yellow;0
70;77;-19507;159684;Kristofer Moreau;3610
70;77;-19507;221395;Matthew Woollett;3024
70;77;-19507;84341;Christopher Kasch;5007
92;100;-40240;-40240;Team Redline Black;0
92;100;-40240;17341;Ben Cornett;5109
92;100;-40240;260872;Ayhancan Guven;7112
92;100;-40240;35213;Aleksi Uusi-Jaakkola;5958
72;473;-41452;-41452;ASTRO Gaming Altus Esports AMG;0
72;473;-41452;219696;Josh Thompson;7071
72;473;-41452;58934;Zachary Hanlin;4298
70;77;-46113;-46113;Pure Motorsport White;0
70;77;-46113;245372;Nick Sigley;3174
70;77;-46113;76357;Bekir Karaca;5339
92;100;-46912;-46912;Radicals Online Turn Racing;0
92;100;-46912;239313;Junya Kitaura;7088
92;100;-46912;311884;Don E Squirek;5252
92;100;-46912;60872;Laszlo Kotrocz;4994
73;473;-50871;-50871;Vendaval Simracing Black;0
73;473;-50871;156306;Adrian Hettich;4565
73;473;-50871;175460;Joakim Svensson;2614
70;77;-51561;-51561;Team RSO #117;0
70;77;-51561;189437;Manuel Sudau;4485
70;77;-51561;303804;Nils Benedikt;4754
70;77;-51561;328376;Luca von Leitner;5851
72;473;-55977;-55977;Team RSO #197;0
72;473;-55977;137645;Manuel Waibel;5097
72;473;-58264;-58264;Vendaval Simracing White;0
72;473;-58264;147875;Hayden Berns;7224
72;473;-58264;222130;Matti Kaidesoja;7444
72;473;-58264;318583;Valtteri Alander;6541
92;100;-58858;-58858;Williams Esports;0
92;100;-58858;28810;Andre Boettcher;6918
93;100;-65804;-65804;Logitech G Altus Esports;0
93;100;-65804;294483;Tuomas Tähtelä;7264
93;100;-65804;78137;Yannick  Lapchin;7665
70;77;-67937;-67937;Texense FitzSty Motorsport;0
70;77;-67937;137872;Benjamin Gregory;3423
70;77;-67937;196965;Cameron Dance;4691
70;77;-67937;342465;Dominic Ferraris;4666
73;473;-71699;-71699;RACE4CAT MOTORSPORT;0
73;473;-71699;200068;David Planiol;7049
73;473;-71699;225888;Pau Costa2;4780
73;473;-71699;231630;Angel Perdiguero Roldan;1644
73;473;-71699;253782;Julia Pros Albert;7090
72;473;-74207;-74207;DV1 TRITON Racing;0
72;473;-74207;38408;Marcin Skrzypczak;6802
72;473;-74207;96275;Piotr Jagodzinski;6201
70;77;-80235;-80235;Alpinestars Geodesic Racing;0
70;77;-80235;375329;Jay Vigo;4773
70;77;-80235;60283;Brendan Cronin;5536
72;473;-81578;-81578;Alpinestars Geodesic Racing Gold;0
72;473;-81578;227349;Carlos Vila.;6627
72;473;-81578;303828;Nathan S Lewis;6342
92;100;-87493;-87493;Pure Racing Team Black;0
92;100;-87493;142356;Patrick Heinrich;7093
92;100;-87493;148179;Niclas Laubisch;5375
92;100;-87611;-87611;Vendaval Simracing Yellow;0
92;100;-87611;115927;Dekota Fripp;6924
92;100;-87611;140004;Juan E Lopez;7699
92;100;-87611;173316;Joshua W Anderson;7707
92;100;-87611;290948;Antti Ahola;8313
93;100;-10272;-10272;Orion Race Team HPP;0
93;100;-10272;16339;Davy Decorps;5774
93;100;-10272;163830;Luka Petrini?;4506
93;100;-10272;17371;George Sandman;5874
92;100;-105235;-105235;REDFACE RACING by JRT;0
92;100;-105235;17140;Samuel Libeert;5819
92;100;-105235;186405;Benjamin Gonzalez;6117
92;100;-105235;21435;Bruno Fontalba;6607
70;77;-111680;-111680;Tempest Motorsports C7DP;0
70;77;-111680;202191;Gustaf Bellstam;4378
70;77;-111680;238949;David L Hicks;2112
70;77;-111680;34462;Erik Molzahn;2303
70;77;-111680;97903;Stephen Warcup;4032
72;473;-111894;-111894;Torque Freak Racing Boaty MercBoatface;0
72;473;-111894;143614;Antti Salminen;6156
72;473;-111894;55042;Georg Gruber;3286
109;100;-113662;-113662;SIMMSA ISR Powered by Simplex Racing GTE;0
109;100;-113662;203462;Barry Morrison;5450
109;100;-113662;47140;Tyler Hervias;7057
109;100;-114577;-114577;SimRC.de Carbon;0
109;100;-114577;319018;Philip Weber;5553
109;100;-114577;99265;Tom Vallenthini;7119
73;473;-115131;-115131;Alpinestars Geodesic Racing Echelon;0
73;473;-115131;203162;Blake Neck;5990
73;473;-115131;295918;Raf Van der Linden;3579
109;100;-115206;-115206;ASD Elite #Orange;0
109;100;-115206;226459;Sascha Engelhardt2;6363
109;100;-115206;342011;Andre Melchers;4586
70;77;-115553;-115553;NOMAD SimRacing Green;0
70;77;-115553;170998;Simon Underhill;3058
70;77;-115553;209179;Jason Dilworth;3047
70;77;-116479;-116479;CARL Simsport Durex Premium Rubber;0
70;77;-116479;239267;Rens de Kok7;4545
70;77;-116479;242549;Alex Baciu;2494
109;100;-116646;-116646;RiLey SimRacing;0
109;100;-116646;145678;Andreas Leykamm;6481
109;100;-116646;170197;Dominik Pusch;5097
109;100;-116646;49498;Patrick Richter;6095
72;473;-118752;-118752;SpeedTek Simsport #23;0
72;473;-118752;176879;Daniel Towill;3048
72;473;-118752;333430;Jordan Fisher;4637
70;77;-119573;-119573;Grand Prix Legends Endure 2;0
70;77;-119573;132486;Ove Trengereid;3151
70;77;-119573;177215;Angelika Pavlowski;4044
70;77;-119573;18090;Mick Claridge;4738
70;77;-121798;-121798;V10R esport Simability;0
70;77;-121798;214601;Bastien Perez;2578
70;77;-121798;214757;Frederic Sbardellini;4150
70;77;-121798;252501;Xavier Chambon;2720
72;473;-123333;-123333;Prologue React E-Sport;0
72;473;-123333;138383;Magnus Wasteson;3630
72;473;-123333;162225;Jacky Lotterman;3919
70;77;-123458;-123458;DRS Wave Italy DP;0
70;77;-123458;20746;Antonino Arcidiacono;1412
70;77;-123458;25197;Marco Arcidiacono;3364
70;77;-123458;266376;Carmine Sorrentìno;2206
72;473;-123697;-123697;Racelab Engineering Azure;0
72;473;-123697;242569;Gilles Le Blanc;4362
72;473;-123697;299279;Curtis Wood;3118
72;473;-125896;-125896;TestedNTrue Racing - Raptor;0
72;473;-125896;22536;Barrett Rolph;2819
72;473;-125896;337025;Justin Cady;3555
72;473;-125896;87286;Patrick Rall;4175
70;77;-127000;-127000;DT3Racing-eSport #43;0
70;77;-127000;359065;Loïc Meunier;3163
92;100;-129353;-129353;Prologue React E-Sport Pink;0
92;100;-129353;270254;Lasse Bak;6881
72;473;-13064;-13064;LEO RACING TEAM #10#;0
72;473;-13064;39340;Thomas Tartari;4059
72;473;-13064;40490;Luca Papa;3288
72;473;-13064;59708;Luigi Nespolino;5019
92;100;-137263;-137263;MSI eSports;0
92;100;-137263;128870;Víctor Lobato López;5344
92;100;-137263;214075;David P Pérez;5608
70;77;-138777;-138777;MXS RACING C7;0
70;77;-138777;198783;Anthony Froment;1624
70;77;-138777;23521;Frédéric Nachun;3306
72;473;-138948;-138948;KooF Racing Team squad Fabio;0
72;473;-138948;363751;Arthur Näsi;4396
72;473;-138948;397983;Janne Laahanen;1765
92;100;-139158;-139158;Team FULL SEND;0
92;100;-139158;361436;Nistoran Correia;5784
92;100;-139158;385618;Tódor Dosel;6447
