car_id;car_class_id;team_id;driver_id;name;rating_old
94;59;-10045;-10045;AlpineEagleRacing;0
94;59;-10045;16149;Marcus Jirak;4760
94;59;-10045;162497;Robert Klotz;5186
94;59;-10045;84621;Martin Ascher;5684
94;59;-10045;85423;Erik Hafner;3009
73;59;-10547;-10547;Virtual Motorsport;0
73;59;-10547;138794;Bas Slob;5521
73;59;-10547;30065;Dennis Gerressen;5616
73;59;-10547;30272;Roy Diederen;3715
73;59;-10547;32714;Michael Storm;4803
73;59;-10547;35150;Marcel Bosman;3002
73;59;-105773;-105773;DRS Wave Italy R8 #1;0
73;59;-105773;25197;Marco Arcidiacono;3434
73;59;-105773;33238;Giuseppe Curri;7094
73;59;-105773;345589;Alessandro Gallini;4176
73;59;-105773;48053;Maurizio Miconi;3600
73;59;-105773;67983;Filippo Orlandi;7093
73;59;-107870;-107870;Mücke Motorsport Simracing #Pink;0
73;59;-107870;144677;Ruben Denker;4982
73;59;-107870;225176;Mats-Thorge Huthsfeldt;5731
73;59;-107870;303804;Nils Benedikt;4323
73;59;-107870;328376;Luca von Leitner;5515
73;59;-107870;47111;Patrick Schillikowski;4429
73;59;-108332;-108332;ZENNITH eSport;0
73;59;-108332;247183;Aitor Mediavilla;4639
73;59;-108332;261662;Rui Ferreira Almeida;5940
73;59;-116170;-116170;RaceKraft Esports;0
73;59;-116170;220103;Kane Halliburton;5111
73;59;-116170;239224;John Miller III;4073
73;59;-116170;298912;Robert Noaker;2193
73;59;-116170;75474;Brian Lockwood;6106
73;59;-117494;-117494;Williams JIM Esports #888;0
73;59;-117494;165200;Moreno Sirica;5427
73;59;-117494;189025;Cristobal J. Lopez;6298
73;59;-117494;283376;Gonzalo Vergara;4164
73;59;-117494;300107;Diego Cabanela;5902
73;59;-117494;98921;Jorge Blasco Valls;7111
73;59;-119846;-119846;Hercynite Racing #1;0
73;59;-119846;164187;Piotr Tomiak;4745
73;59;-119846;246994;Filip O?dak2;4506
73;59;-119846;63831;Rafal Kucharzyk;5175
94;59;-123034;-123034;Team ACR;0
94;59;-123034;33911;Jaroslav Honzik;6074
73;59;-125807;-125807;Burst Esport;0
73;59;-125807;218584;Kenny Roosen;6338
73;59;-125807;290841;Harrison Finch;5683
73;59;-126332;-126332;Biela Racing Team EURONICS SPA;0
73;59;-126332;124872;Lukas Jestädt;8290
73;59;-126332;146444;Gregory Tanson;5852
73;59;-126332;313251;Sven Haase;8779
73;59;-126357;-126357;Sorg Rennsport eSports;0
73;59;-126357;240398;Mike Nürnberg;6766
73;59;-126708;-126708;  ·  S2V Racing ·;0
73;59;-126708;233196;Daniel Fernández Seoane;4569
73;59;-126708;243044;Sergi Maturana;6244
73;59;-127562;-127562;Interlagos Motorsport;0
73;59;-127562;18755;Wilson Neto;3780
73;59;-127562;294869;Wilson R Neto;3168
73;59;-127562;295141;Miguel Paludo;3686
73;59;-127562;308108;Rafael Bervanger.;5638
73;59;-127562;36785;Frederico Pezzotti;3276
73;59;-129518;-129518;OTR e-Sport # E2G;0
73;59;-129518;337070;Christophe Sanchez;5768
73;59;-129518;337746;Jonathan YVART;2447
73;59;-129518;351454;Erwan Barbier;2312
73;59;-129518;367306;Cédric Leroy;2064
73;59;-130644;-130644;Simplex Racing GT3 ;0
73;59;-130644;189577;Nicol Foggie;3833
73;59;-130644;47140;Tyler Hervias;7015
73;59;-130644;73275;Teemu Toikka;4585
55;59;-130645;-130645;Simplex Racing Powered By Craigsetupshop.co.uk;0
55;59;-130645;159866;Michael Davies;3773
55;59;-130645;165208;Craig A Williams;4886
55;59;-130645;176812;Fraser Williamson;4323
55;59;-130645;219696;Josh Thompson;6897
55;59;-130645;45852;Lewis Goodway;6002
73;59;-13105;-13105;Torrent Motorsports;0
73;59;-13105;164951;Balazs Toldi;2320
